eta,pinn_rank,exact_label,nx,ny,overlap,overlap_weight
1.2,4,psi_21,2,1,0.00018523230392020196,3.4311006415586065e-08
1.2,4,psi_22,2,2,-0.017997777089476585,0.00032391998016248827
1.2,4,psi_13,1,3,-0.9997914433479309,0.9995829301917389
1.2,4,psi_31,3,1,0.0016121033113449812,2.5988770864494534e-06
1.2,4,psi_23,2,3,0.0009355065412819386,8.751724887812954e-07
1.2,4,psi_32,3,2,0.005443330388516188,2.962984571854379e-05
1.2,4,psi_14,1,4,-0.0012362534180283546,1.5283225135867898e-06
1.2,4,psi_24,2,4,0.001025710953399539,1.0520829599237913e-06
1.2,4,psi_33,3,3,-0.0009434659732505679,8.901280426816413e-07
1.2,4,psi_41,4,1,0.0009234398021362722,8.527410681694775e-07
