case,method,script,seed,seed_argument_available,returncode,runtime_s,log_path,note,success,rel_error_percent,max_rel_error_percent,subspace_weight,parity_score,nodes,nodes_expected,failure_mode,parsed_rows
1D n=5,baseline state-by-state,train_pinn_1d.py,18,True,0,4.976770877838135,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed18.log,native baseline 1D script,False,59.9752,132.8608,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,18,True,0,35.61465501785278,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed18.log,native projected 1D script,True,0.0237,0.0253,,,4.0,4.0,stable,5
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,18,True,0,934.4479978084564,data/ablation_native_logs/square_doublet__subspace_Ritz__seed18.log,native square subspace script,True,0.0643,0.0869,0.99995,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,18,True,0,1740.4015820026398,data/ablation_native_logs/disk_m1__subspace_Ritz__seed18.log,native disk subspace script,True,0.0005,0.0005,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,18,True,0,3645.7294976711273,data/ablation_native_logs/ellipse_split__generic_subspace__seed18.log,native generic ellipse script,False,1185.8716948946894,5251.90956185198,,0.0,,,branch drift/generic subspace instability,5
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,18,True,0,7329.3272268772125,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed18.log,native symmetry-sector ellipse script,True,1.656166531777312,2.0345131443458033,,1.0,,,stable branch tracking,5
1D n=5,baseline state-by-state,train_pinn_1d.py,19,True,0,5.116312026977539,data/ablation_native_logs/1D_n5__baseline_state-by-state__seed19.log,native baseline 1D script,False,27.7486,115.8598,,,,,energy error,5
1D n=5,projected Rayleigh,train_pinn_1d_projected_v2.py,19,True,0,936.4276180267334,data/ablation_native_logs/1D_n5__projected_Rayleigh__seed19.log,native projected 1D script,True,0.0266,0.0266,,,4.0,4.0,stable,5
square doublet,subspace Ritz,train_pinn_square_2d_subspace.py,19,True,0,39.94187307357788,data/ablation_native_logs/square_doublet__subspace_Ritz__seed19.log,native square subspace script,True,0.028200000000000003,0.0303,1.0,,,,stable,4
disk m=1,subspace Ritz,train_pinn_disk_2d_subspace.py,19,True,0,79.42331981658936,data/ablation_native_logs/disk_m1__subspace_Ritz__seed19.log,native disk subspace script,True,0.0004,0.0004,1.0,,,,stable,3
ellipse split,generic subspace,train_pinn_ellipse_2d_splitting.py,19,True,0,959.4469039440155,data/ablation_native_logs/ellipse_split__generic_subspace__seed19.log,native generic ellipse script,False,754.1307535963695,2100.194107094974,,0.0,,,branch drift/generic subspace instability,5
ellipse split,symmetry sectors,train_pinn_ellipse_2d_symmetry_v2.py,19,True,0,461.2186481952667,data/ablation_native_logs/ellipse_split__symmetry_sectors__seed19.log,native symmetry-sector ellipse script,True,1.6394631166412856,1.7773577286538302,,1.0,,,stable branch tracking,5
